ID,Słowo (Angielski),Tłumaczenie (Polski),Wymowa UK (IPA),Wymowa US (IPA)
1764,feedback,informacja zwrotna,/ˈfiːdbæk/,/ˈfiːdbæk/
1765,fellow,kolega/facet,/ˈfeləʊ/,/ˈfeloʊ/
1766,female,kobieta/żeński,/ˈfiːmeɪl/,/ˈfiːmeɪl/
1767,fence,płot,/fens/,/fens/
1768,festival,festiwal,/ˈfestɪvəl/,/ˈfestɪvəl/
1769,fetch,przynieść,/fetʃ/,/fetʃ/
1770,fever,gorączka,/ˈfiːvə(r)/,/ˈfiːvər/
1771,fiction,fikcja,/ˈfɪkʃən/,/ˈfɪkʃən/
1773,file,plik/pilnik,/faɪl/,/faɪl/
1775,film,film,/fɪlm/,/fɪlm/
1777,finance,finanse,/ˈfaɪnæns/,"/fəˈnæns/, /ˈfaɪnæns/"
1778,financial,finansowy,/faɪˈnænʃəl/,/faɪˈnænʃəl/
1779,finding,odkrycie/wynik,/ˈfaɪndɪŋ/,/ˈfaɪndɪŋ/
1781,firm,firma/stanowczy,/fɜːm/,/fɜːrm/
1782,firstly,po pierwsze,/ˈfɜːstli/,/ˈfɜːrstli/
1783,fix,naprawić,/fɪks/,/fɪks/
1784,flag,flaga,/flæɡ/,/flæɡ/
1785,flame,płomień,/fleɪm/,/fleɪm/
1786,flash,błysk,/flæʃ/,/flæʃ/
1788,flavour,smak,/ˈfleɪvə(r)/,/ˈfleɪvər/
1789,flesh,ciało (mięso),/fleʃ/,/fleʃ/
1790,flight,lot,/flaɪt/,/flaɪt/
1791,float,pływać/unosić się,/fləʊt/,/floʊt/
1792,flood,powódź,/flʌd/,/flʌd/
1793,flour,mąka,/ˈflaʊə(r)/,/ˈflaʊər/
1795,fluent,płynny (o mowie),/ˈfluːənt/,/ˈfluːənt/
1796,focus,skupić się/centrum uwagi,/ˈfəʊkəs/,/ˈfoʊkəs/
1797,fold,składać,/fəʊld/,/foʊld/
1798,following,następujący,/ˈfɒləʊɪŋ/,/ˈfɑːloʊɪŋ/
1799,fond,czuły/lubiący,/fɒnd/,/fɑːnd/
1800,fool,głupiec,/fuːl/,/fuːl/
1801,forbid,zakazać,/fəˈbɪd/,/fərˈbɪd/
1802,forecast,prognoza,/ˈfɔːkɑːst/,/ˈfɔːrkæst/
1803,foreign,zagraniczny,/ˈfɒrən/,/ˈfɔːrən/
1804,foreigner,obcokrajowiec,/ˈfɒrənə(r)/,/ˈfɔːrənər/
1805,forever,na zawsze,/fəˈrevə(r)/,/fərˈevər/
1806,forgive,wybaczyć,/fəˈɡɪv/,/fərˈɡɪv/
1807,fork,widelec,/fɔːk/,/fɔːrk/
1808,formal,formalny,/ˈfɔːməl/,/ˈfɔːrməl/
1809,former,były/poprzedni,/ˈfɔːmə(r)/,/ˈfɔːrmər/
1810,formula,formuła/wzór,/ˈfɔːmjələ/,/ˈfɔːrmjələ/
1811,fortune,fortuna,/ˈfɔːtʃuːn/,/ˈfɔːrtʃən/
1813,foundation,fundacja/podstawa,/faʊnˈdeɪʃən/,/faʊnˈdeɪʃən/
1814,frame,rama,/freɪm/,/freɪm/
1815,frankly,szczerze,/ˈfræŋkli/,/ˈfræŋkli/
1816,freedom,wolność,/ˈfriːdəm/,/ˈfriːdəm/
1817,freeze,zamarzać,/friːz/,/friːz/
1818,frequent,częsty,/ˈfriːkwənt/,/ˈfriːkwənt/
1820,fridge,lodówka,/frɪdʒ/,/frɪdʒ/
1821,friendly,przyjazny,/ˈfrendli/,/ˈfrendli/
1822,friendship,przyjaźń,/ˈfrendʃɪp/,/ˈfrendʃɪp/
1823,frighten,przestraszyć,/ˈfraɪtən/,/ˈfraɪtən/
1825,fuel,paliwo,/ˈfjuːəl/,/ˈfjuːəl/
1826,fully,w pełni,/ˈfʊli/,/ˈfʊli/
1827,function,funkcja,/ˈfʌŋkʃən/,/ˈfʌŋkʃən/
1828,fund,fundusz,/fʌnd/,/fʌnd/
1829,fundamental,fundamentalny,/ˌfʌndəˈmentəl/,/ˌfʌndəˈmentəl/
1830,funeral,pogrzeb,/ˈfjuːnərəl/,/ˈfjuːnərəl/
1831,funny,śmieszny,/ˈfʌni/,/ˈfʌni/
1832,fur,futro,/fɜː(r)/,/fɜːr/
1833,furious,wściekły,/ˈfjʊəriəs/,/ˈfjʊriəs/
1834,furniture,meble,/ˈfɜːnɪtʃə(r)/,/ˈfɜːrnɪtʃər/
1835,further,dalszy,/ˈfɜːðə(r)/,/ˈfɜːrðər/
1836,furthermore,co więcej,/ˌfɜːðəˈmɔː(r)/,/ˌfɜːrðərˈmɔːr/
1837,gain,zyskać,/ɡeɪn/,/ɡeɪn/
1838,gallery,galeria,/ˈɡæləri/,/ˈɡæləri/
1839,gamble,hazard/ryzykować,/ˈɡæmbəl/,/ˈɡæmbəl/
1840,gang,gang,/ɡæŋ/,/ɡæŋ/
1841,gap,luka/przerwa,/ɡæp/,/ɡæp/
1842,garage,garaż,/ˈɡærɑːʒ/,/ɡəˈrɑːʒ/
1843,garbage,śmieci,/ˈɡɑːbɪdʒ/,/ˈɡɑːrbɪdʒ/
1844,gate,brama,/ɡeɪt/,/ɡeɪt/
1846,gear,sprzęt/bieg,/ɡɪə(r)/,/ɡɪr/
1847,gender,płeć (kulturowa),/ˈdʒendə(r)/,/ˈdʒendər/
1848,generate,generować,/ˈdʒenəreɪt/,/ˈdʒenəreɪt/
1849,generation,pokolenie,/ˌdʒenəˈreɪʃən/,/ˌdʒenəˈreɪʃən/
1850,generous,hojny,/ˈdʒenərəs/,/ˈdʒenərəs/
1852,gentleman,dżentelmen,/ˈdʒentəlmən/,/ˈdʒentəlmən/
1853,genuine,prawdziwy,/ˈdʒenjuɪn/,/ˈdʒenjuɪn/
1854,geography,geografia,/dʒiˈɒɡrəfi/,/dʒiˈɑːɡrəfi/
1855,giant,olbrzym,/ˈdʒaɪənt/,/ˈdʒaɪənt/
1856,gift,prezent,/ɡɪft/,/ɡɪft/
1857,global,globalny,/ˈɡləʊbəl/,/ˈɡloʊbəl/
1858,glove,rękawiczka,/ɡlʌv/,/ɡlʌv/
1859,goal,cel/bramka,/ɡəʊl/,/ɡoʊl/
1860,goods,towary,/ɡʊdz/,/ɡʊdz/
1861,gorgeous,wspaniały/piękny,/ˈɡɔːdʒəs/,/ˈɡɔːrdʒəs/
1862,gossip,plotka/plotkować,/ˈɡɒsɪp/,/ˈɡɑːsɪp/
1864,governor,gubernator,/ˈɡʌvənə(r)/,/ˈɡʌvərnər/
1865,grab,chwycić,/ɡræb/,/ɡræb/
1866,grade,ocena/stopień,/ɡreɪd/,/ɡreɪd/
1867,gradual,stopniowy,/ˈɡrædʒuəl/,/ˈɡrædʒuəl/
1868,graduate,ukończyć studia,/ˈɡrædʒueɪt/ (verb),/ˈɡrædʒueɪt/ (verb)
1869,grain,ziarno,/ɡreɪn/,/ɡreɪn/
1870,grandchild,wnuk/wnuczka,/ˈɡræntʃaɪld/,/ˈɡræntʃaɪld/
1871,grant,przyznać/dotacja,/ɡrɑːnt/,/ɡrænt/
1872,grape,winogrono,/ɡreɪp/,/ɡreɪp/
1873,graphic,graficzny,/ˈɡræfɪk/,/ˈɡræfɪk/
1874,grateful,wdzięczny,/ˈɡreɪtfəl/,/ˈɡreɪtfəl/
1875,grave,grób/poważny,/ɡreɪv/,/ɡreɪv/
1876,greatly,znacznie,/ˈɡreɪtli/,/ˈɡreɪtli/
1877,greet,witać,/ɡriːt/,/ɡriːt/
1878,grocery,sklep spożywczy,/ˈɡrəʊsəri/,/ˈɡroʊsəri/
1879,growth,wzrost,/ɡrəʊθ/,/ɡroʊθ/
1880,guarantee,gwarancja,/ˌɡærənˈtiː/,/ˌɡærənˈtiː/
1881,guard,strażnik/chronić,/ɡɑːd/,/ɡɑːrd/
1882,guilty,winny,/ˈɡɪlti/,/ˈɡɪlti/
1883,guy,facet,/ɡaɪ/,/ɡaɪ/
1884,habit,nawyk,/ˈhæbɪt/,/ˈhæbɪt/
1885,halfway,w połowie drogi,/ˌhɑːfˈweɪ/,/ˌhæfˈweɪ/
1886,hall,hol/sala,/hɔːl/,/hɔːl/
1887,handbag,torebka,/ˈhændbæɡ/,/ˈhændbæɡ/
1888,handle,radzić sobie/uchwyt,/ˈhændəl/,/ˈhændəl/
1889,handsome,przystojny,/ˈhænsəm/,/ˈhænsəm/
1890,hang,wieszać,/hæŋ/,/hæŋ/
1891,happiness,szczęście,/ˈhæpinəs/,/ˈhæpinəs/
1892,harbour,port,/ˈhɑːbə(r)/,/ˈhɑːrbər/
1893,hardly,ledwo,/ˈhɑːdli/,/ˈhɑːrdli/
1894,harm,krzywda/szkodzić,/hɑːm/,/hɑːrm/
1895,harvest,żniwa/zbiory,/ˈhɑːvɪst/,/ˈhɑːrvɪst/
1896,headline,nagłówek,/ˈhedlaɪn/,/ˈhedlaɪn/
1897,headquarters,siedziba główna,/ˌhedˈkwɔːtəz/,/ˈhedkwɔːrtərz/
1898,heal,leczyć/goić się,/hiːl/,/hiːl/
1899,heating,ogrzewanie,/ˈhiːtɪŋ/,/ˈhiːtɪŋ/
1900,heaven,niebo,/ˈhevən/,/ˈhevən/
1901,heel,pięta/obcas,/hiːl/,/hiːl/
1902,height,wzrost/wysokość,/haɪt/,/haɪt/
1903,hell,piekło,/hel/,/hel/
1904,helmet,kask,/ˈhelmɪt/,/ˈhelmɪt/
1905,hence,stąd/dlatego,/hens/,/hens/
1906,heritage,dziedzictwo,/ˈherɪtɪdʒ/,/ˈherɪtɪdʒ/
1907,hero,bohater,/ˈhɪərəʊ/,/ˈhɪroʊ/
1908,hesitate,wahać się,/ˈhezɪteɪt/,/ˈhezɪteɪt/
1909,hidden,ukryty,/ˈhɪdən/,/ˈhɪdən/
1910,highlight,podkreślać/atrakcja,/ˈhaɪlaɪt/,/ˈhaɪlaɪt/
1911,highly,wysoce,/ˈhaɪli/,/ˈhaɪli/
1912,highway,autostrada,/ˈhaɪweɪ/,/ˈhaɪweɪ/
1913,hijack,porwać (np. torebkę),/ˈhaɪdʒæk/,/ˈhaɪdʒæk/
1915,hire,wynająć/zatrudnić,/ˈhaɪə(r)/,/ˈhaɪər/
1916,historic,"historyczny (ważny, doniosły historycznie) ",/hɪˈstɒrɪk/,/hɪˈstɔːrɪk/
1917,historical,historyczny (odnoszący się do historii),/hɪˈstɒrɪkəl/,/hɪˈstɔːrɪkəl/
1918,hobby,hobby,/ˈhɒbi/,/ˈhɑːbi/
1921,holiday,wakacje/święto,/ˈhɒlədeɪ/,/ˈhɑːlədeɪ/
1922,hollow,pusty w środku,/ˈhɒləʊ/,/ˈhɑːloʊ/
1923,holy,święty,/ˈhəʊli/,/ˈhoʊli/
1924,honest,uczciwy,/ˈɒnɪst/,/ˈɑːnɪst/
1925,honour,honor,/ˈɒnə(r)/,/ˈɑːnər/
1926,hook,hak,/hʊk/,/hʊk/
1928,horizon,horyzont,/həˈraɪzən/,/həˈraɪzən/
1929,horn,róg/klakson,/hɔːn/,/hɔːrn/
1930,horrible,okropny,/ˈhɒrəbəl/,/ˈhɔːrəbəl/
1931,horror,horror,/ˈhɒrə(r)/,/ˈhɔːrər/
1932,host,gospodarz,/həʊst/,/hoʊst/
1933,household,gospodarstwo domowe,/ˈhaʊshəʊld/,/ˈhaʊshoʊld/
1934,housing,mieszkalnictwo,/ˈhaʊzɪŋ/,/ˈhaʊzɪŋ/
1937,humorous,humorystyczny,/ˈhjuːmərəs/,/ˈhjuːmərəs/
1938,humour,humor,/ˈhjuːmə(r)/,/ˈhjuːmər/
1940,hunting,polowanie,/ˈhʌntɪŋ/,/ˈhʌntɪŋ/
1941,hurt,ranić/boleć,/hɜːt/,/hɜːrt/
1942,hypothesis,hipoteza,/haɪˈpɒθəsɪs/,/haɪˈpɑːθəsɪs/
1943,ideal,idealny,/aɪˈdiːəl/,/aɪˈdiːəl/
1944,identify,identyfikować,/aɪˈdentɪfaɪ/,/aɪˈdentɪfaɪ/
1945,identity,tożsamość,/aɪˈdentəti/,/aɪˈdentəti/
1946,ignore,ignorować,/ɪɡˈnɔː(r)/,/ɪɡˈnɔːr/
1947,ill,chory,/ɪl/,/ɪl/
1948,illegal,nielegalny,/ɪˈliːɡəl/,/ɪˈliːɡəl/
1949,illness,choroba,/ˈɪlnəs/,/ˈɪlnəs/
1950,illustrate,ilustrować,/ˈɪləstreɪt/,/ˈɪləstreɪt/
1951,image,obraz/wizerunek,/ˈɪmɪdʒ/,/ˈɪmɪdʒ/
1952,imaginary,wyimaginowany,/ɪˈmædʒɪnəri/,/ɪˈmædʒɪneri/
1953,imagination,wyobraźnia,/ɪˌmædʒɪˈneɪʃən/,/ɪˌmædʒɪˈneɪʃən/
1954,immediate,natychmiastowy,/ɪˈmiːdiət/,/ɪˈmiːdiət/
1955,immigrant,imigrant,/ˈɪmɪɡrənt/,/ˈɪmɪɡrənt/
1956,impact,wpływ,/ˈɪmpækt/ (noun),/ˈɪmpækt/ (noun)
1957,implement,wdrażać,/ˈɪmplɪment/ (verb),/ˈɪmplɪment/ (verb)
1958,imply,sugerować/implikować,/ɪmˈplaɪ/,/ɪmˈplaɪ/
1959,import,importować,/ɪmˈpɔːt/ (verb),/ˈɪmpɔːrt/ (noun)
1960,importance,znaczenie/waga,/ɪmˈpɔːtəns/,/ɪmˈpɔːrtəns/
1961,impose,narzucać,/ɪmˈpəʊz/,/ɪmˈpoʊz/
1962,impossible,niemożliwy,/ɪmˈpɒsəbəl/,/ɪmˈpɑːsəbəl/
1963,impress,robić wrażenie,/ɪmˈpres/,/ɪmˈpres/
1964,impressed,pod wrażeniem,/ɪmˈprest/,/ɪmˈprest/
1965,impression,wrażenie,/ɪmˈpreʃən/,/ɪmˈpreʃən/
1966,impressive,imponujący,/ɪmˈpresɪv/,/ɪmˈpresɪv/
1967,improve,poprawiać,/ɪmˈpruːv/,/ɪmˈpruːv/
1968,improvement,poprawa,/ɪmˈpruːvmənt/,/ɪmˈpruːvmənt/
1969,inability,niezdolność,/ˌɪnəˈbɪləti/,/ˌɪnəˈbɪləti/
1971,incident,incydent,/ˈɪnsɪdənt/,/ˈɪnsɪdənt/
1972,income,dochód,/ˈɪnkʌm/,/ˈɪnkʌm/
1973,increase,wzrastać/wzrost,/ɪnˈkriːs/ (verb),/ɪnˈkriːs/ (verb)
1974,increasingly,coraz bardziej,/ɪnˈkriːsɪŋli/,/ɪnˈkriːsɪŋli/
1975,incredible,niesamowity,/ɪnˈkredəbəl/,/ɪnˈkredəbəl/
1976,indeed,rzeczywiście,/ɪnˈdiːd/,/ɪnˈdiːd/
1977,independent,niezależny,/ˌɪndɪˈpendənt/,/ˌɪndɪˈpendənt/
1978,index,indeks,/ˈɪndeks/,/ˈɪndeks/
1980,indirect,pośredni,/ˌɪndaɪˈrekt/,/ˌɪndəˈrekt/
1981,individual,indywidualny/jednostka,/ˌɪndɪˈvɪdʒuəl/,/ˌɪndɪˈvɪdʒuəl/
1982,indoor,wewnętrzny,/ˈɪndɔː(r)/,/ˈɪndɔːr/
1983,industrial,przemysłowy,/ɪnˈdʌstriəl/,/ɪnˈdʌstriəl/
1984,inevitable,nieunikniony,/ɪnˈevɪtəbəl/,/ɪnˈevɪtəbəl/
1985,infant,niemowlę,/ˈɪnfənt/,/ˈɪnfənt/
1986,infect,infekować,/ɪnˈfekt/,/ɪnˈfekt/
1987,infection,infekcja,/ɪnˈfekʃən/,/ɪnˈfekʃən/
1988,influence,wpływ/wpływać,/ˈɪnfluəns/,/ˈɪnfluəns/
1989,inform,informować,/ɪnˈfɔːm/,/ɪnˈfɔːrm/
1990,informal,nieformalny,/ɪnˈfɔːməl/,/ɪnˈfɔːrməl/
1991,ingredient,składnik,/ɪnˈɡriːdiənt/,/ɪnˈɡriːdiənt/
1992,initial,początkowy,/ɪˈnɪʃəl/,/ɪˈnɪʃəl/
1993,initially,początkowo,/ɪˈnɪʃəli/,/ɪˈnɪʃəli/
1994,initiative,inicjatywa,/ɪˈnɪʃətɪv/,/ɪˈnɪʃətɪv/
1995,injure,ranić,/ˈɪndʒə(r)/,/ˈɪndʒər/
1996,injury,uraz/rana,/ˈɪndʒəri/,/ˈɪndʒəri/
1997,inner,wewnętrzny,/ˈɪnə(r)/,/ˈɪnər/
1998,innocent,niewinny,/ˈɪnəsənt/,/ˈɪnəsənt/
1999,innovation,innowacja,/ˌɪnəˈveɪʃən/,/ˌɪnəˈveɪʃən/
2000,legal,legalny/prawny,/ˈliːɡəl/,/ˈliːɡəl/
